,WS_ms_Avg,,,,
841,3.149,,,2965,4.339
842,3.494,,,2969,2.594
843,3.782,,,2973,0.872
844,3.243,,,2977,2.162
845,2.114,,,2981,2.556
846,2.033,,,2985,3.886
847,1.124,,,2989,5.826
848,2.239,,,2993,4.62
849,2.558,,,2997,1.421
850,2.627,,,3001,2.514
851,2.76,,,3005,3.605
852,3.684,,,3009,0.863
853,3.32,,,3013,2.612
854,3.565,,,3017,4.242
855,4.142,,,3021,3.2
856,3.571,,,3025,2.069
857,4.102,,,3029,1.708
858,4.728,,,3033,3.556
859,3.861,,,3037,4.8
860,3.857,,,3041,1.483
861,2.741,,,3045,2.22
862,5.274,,,3049,9.98
863,6.92,,,3053,8.4
864,6.307,,,3057,4.23
865,5.633,,,3061,4.519
866,5.829,,,3065,5.712
867,5.79,,,3069,7.656
868,4.819,,,3073,8.27
869,4.522,,,3077,8.07
870,4.291,,,3081,6.308
871,3.522,,,3085,4.813
872,3.991,,,3089,3.119
873,2.9,,,3093,6.634
874,3.122,,,3097,7.936
875,3.408,,,3101,8.43
876,3.631,,,3105,7.692
877,3.411,,,3109,6.39
878,2.547,,,3113,6.131
879,1.969,,,3117,8.33
880,2.026,,,3121,7.938
881,2.658,,,3125,8.13
882,3.475,,,3129,7.007
883,3.515,,,3133,4.993
884,2.422,,,3137,6.704
885,2.006,,,3141,3.632
886,1.686,,,3145,5.691
887,3.606,,,3149,6.327
888,2.086,,,3153,7.151
889,2.058,,,3157,7.09
890,1.971,,,3161,8.36
891,4.901,,,3165,8.02
892,4.022,,,3169,8.81
893,3.663,,,3173,9.52
894,3.544,,,3177,8.33
895,5.532,,,3181,7.937
896,4.814,,,3185,7.018
897,6.433,,,3189,6.202
898,6.439,,,3193,7.098
899,6.771,,,3197,6.43
900,6.269,,,3201,5.535
901,5.516,,,3205,7.081
902,5.163,,,3209,6.451
903,5.564,,,3213,5.835
904,7.847,,,3217,6.296
905,8.91,,,3221,6.265
906,7.494,,,3225,7.022
907,7.838,,,3229,6.288
908,5.549,,,3233,7.231
909,6.14,,,3237,6.72
910,5.932,,,3241,7.435
911,4.219,,,3245,7.073
912,2.235,,,3249,6.498
913,2.451,,,3253,8.64
914,4.522,,,3257,9.25
915,4.919,,,3261,8.44
916,4.226,,,3265,8.23
917,3.6,,,3269,7.565
918,2.798,,,3273,6.382
919,2.278,,,3277,4.293
920,1.439,,,3281,7.299
921,2.37,,,3285,7.28
922,3.188,,,3289,6.477
923,3.757,,,3293,6.703
924,3.616,,,3297,5.938
925,3.42,,,3301,7.07
926,4.029,,,3305,5.903
927,3.871,,,3309,7.801
928,4.399,,,3313,6.069
929,4.82,,,3317,5.578
930,5.629,,,3321,6.012
931,6.111,,,3325,6.401
932,4.895,,,3329,6.533
933,3.698,,,3333,6.136
934,2.153,,,3337,6.433
935,1.627,,,3341,6.651
936,4.058,,,3345,5.825
937,3.781,,,3349,4.558
938,3.714,,,3353,3.837
939,4.045,,,3357,3.721
940,4.99,,,3361,5.857
941,5.094,,,3365,5.403
942,5.161,,,3369,4.755
943,4.074,,,3373,4.172
944,3.122,,,3377,4.932
945,2.817,,,3381,4.96
946,3.174,,,3385,4.035
947,3.47,,,3389,4.349
948,3.146,,,3393,4.808
949,4.463,,,3397,3.583
950,3.892,,,3401,3.529
951,2.925,,,3405,4.057
952,3.599,,,3409,2.955
953,3.957,,,3413,4.308
954,2.484,,,3417,1.918
955,3.036,,,3421,0.453
956,3.197,,,3425,1.052
957,2.696,,,3429,1.535
958,0.618,,,3433,3.118
959,0.806,,,3437,2.108
960,2.237,,,3441,4.871
961,2.526,,,3445,1.725
962,3.426,,,3449,2.152
963,3.638,,,3453,2.574
964,3.416,,,3457,1.741
965,2.476,,,3461,1.402
966,1.942,,,3465,4.347
967,1.648,,,3469,2.667
968,1.188,,,3473,3.104
969,1.193,,,3477,4.345
970,2.793,,,3481,4.25
971,3.466,,,3485,3.636
972,4.015,,,3489,3.298
973,4.062,,,3493,1.631
974,4.535,,,3497,3.178
975,4.217,,,3501,4.177
976,3.889,,,3505,4.173
977,4.528,,,3509,0.919
978,4.064,,,3513,6.9
979,4.269,,,3517,6.722
980,3.776,,,3521,6.166
981,2.691,,,3525,6.092
982,1.483,,,3529,6.333
983,0.838,,,3533,8.31
984,2.346,,,3537,6.267
985,3.375,,,3541,4.432
986,5.919,,,3545,6.43
987,4.003,,,3549,7.937
988,3.371,,,3553,9.13
989,2.441,,,3557,9.27
990,2.06,,,3561,9.26
991,2.133,,,3565,5.707
992,1.032,,,3569,4.477
993,2.176,,,3573,9.14
994,2.911,,,3577,8.18
995,3.485,,,3581,8.64
996,3.368,,,3585,2.664
997,3.868,,,3589,3.269
998,4.633,,,3593,1.737
999,4.876,,,3597,3.884
1000,5.327,,,3601,3.077
1001,3.594,,,3605,1.376
1002,4.193,,,3609,4.379
1003,3.636,,,3613,1.35
1004,3.309,,,3617,4.865
1005,2.139,,,3621,6.191
1006,1.838,,,3625,6.122
1007,0.396,,,3629,6.712
1008,2.435,,,3633,6.792
1009,3.446,,,3637,4.278
1010,4.04,,,3641,4.823
1011,3.325,,,3645,5.796
1012,1.724,,,3649,5.261
1013,3.483,,,3653,4.726
1014,4.368,,,3657,6.165
1015,4.67,,,3661,5.313
1016,6.15,,,3665,1.464
1017,4.901,,,3669,2.16
1018,1.732,,,3673,4.113
1019,3.155,,,3677,0.746
1020,4.66,,,3681,5.022
1021,5.968,,,3685,3.212
1022,5.953,,,3689,2.166
1023,5.056,,,3693,3.549
1024,6.133,,,3697,3.518
1025,6.844,,,3701,0.954
1026,6.661,,,3705,3.166
1027,5.736,,,3709,2.392
1028,3.129,,,3713,2.801
1029,3.582,,,3717,3.226
1030,4.467,,,3721,2.522
1031,4.672,,,3725,0.879
1032,4.778,,,3729,4.324
1033,4.71,,,3733,1.386
1034,5.601,,,3737,1.725
1035,6.731,,,3741,1.116
1036,7.409,,,3745,3.313
1037,7.886,,,3749,2.389
1038,8.34,,,3753,3.158
1039,8.67,,,3757,3.993
1040,8.55,,,3761,1.391
1041,8.33,,,3765,1.695
